tf,action,target
TFDP2,1.0,ORC1
DCAF6,1.0,AR
TP53,1.0,RGCC
FOXL2,-1.0,STAR
EGR1,1.0,MMP14
CREBBP,1.0,PPARA
JUN,1.0,ESR1
ESR1,1.0,JUN
TP53,-1.0,KLF2
MAML1,1.0,FCER2
MAML3,1.0,FCER2
MAML2,1.0,FCER2
TP63,-1.0,KLF4
PPARGC1A,1.0,FABP4
ANGPT2,1.0,CDKN1A
EPRS,1.0,MYC
HDAC1,-1.0,E2F1
TP53,-1.0,TERT
TERT,-1.0,TP53
HOXC13,-1.0,SPI1
TP73,-1.0,TERT
TERT,-1.0,TP73
TP53TG5,1.0,TP53
RB1,-1.0,PCNA
EZH2,1.0,RPLP0
ESR1,1.0,KDR
RUNX1,-1.0,SYMPK
H2AFB1,1.0,MYC
PI3,-1.0,GLI2
YY1,1.0,GDAP1
CCNT2,1.0,CHEK1
CCNT1,1.0,CHEK1
SMARCA4,1.0,MECOM
ETS2,1.0,IL5
ETS1,1.0,IL5
JUN,1.0,SPRR1B
CARM1,1.0,SULT2A1
CEBPB,1.0,OXTR
ING1,1.0,TP53
ING4,1.0,TP53
AR,-1.0,PTGS2
SP1,-1.0,APEX1
EP300,-1.0,MYC
FADS2,1.0,PPARA
PPARA,1.0,FADS1
FADS1,1.0,PPARA
KLK3,-1.0,TP53
JUN,1.0,ETS1
IL12RB1,1.0,CD3E
APCDD1,1.0,TCF7L2
NFIL3,-1.0,TNFSF10
MMP26,1.0,TCF7L2
TBL1X,1.0,GRHL1
SP1,1.0,ELF4
CDH2,1.0,RBPJ
ETS1,1.0,KDR
EP300,-1.0,LEP
MAPK14,1.0,PTGS2
MAPK11,1.0,PTGS2
E2F6,-1.0,RRM2
MSX2,1.0,CTNNB1
MSX1,1.0,CTNNB1
TFE3,1.0,RRM1
TFE3,1.0,RRM2
THBS1,-1.0,MYC
MSLN,1.0,CTNNB1
POU5F1,1.0,STAT3
MT1L,1.0,CTNNB1
NFKB1,1.0,PTEN
RARG,1.0,BGLAP
BRCA1,-1.0,RBL2
RBL2,-1.0,BRCA1
BRCA1,-1.0,RBL1
PTGDR,-1.0,MCL1
RBL1,-1.0,BRCA1
MED10,1.0,FABP4
MED17,1.0,FABP4
MED18,1.0,FABP4
MED15,1.0,FABP4
MED16,1.0,FABP4
MED13,1.0,FABP4
MED14,1.0,FABP4
MED11,1.0,FABP4
SP1,1.0,LEP
MED12,1.0,FABP4
MED19,1.0,FABP4
MED20,1.0,FABP4
MED21,1.0,FABP4
MED28,1.0,FABP4
MED29,1.0,FABP4
MED26,1.0,FABP4
MED27,1.0,FABP4
MED24,1.0,FABP4
MED25,1.0,FABP4
MED22,1.0,FABP4
MED23,1.0,FABP4
FOXF2,-1.0,ITGB1
SP1,1.0,FXR2
NFIC,1.0,SMUG1
NELFCD,1.0,ATR
NELFCD,1.0,ATM
GATA1,-1.0,ZNF268
MED31,1.0,FABP4
MED30,1.0,FABP4
HIF1A,-1.0,SDHB
MAPK3,1.0,PTGS2
MAPK1,1.0,PTGS2
IL10,-1.0,TNF
CARM1,1.0,CD36
MZF1,-1.0,TERT
IL13,-1.0,TNF
TAF9,1.0,TERT
IRF1,-1.0,MYB
COL3A1,1.0,SMAD3
HEY1,-1.0,PROX1
MSX2,-1.0,RUNX2
TWIST1,1.0,CD44
TWIST2,1.0,CD44
NFATC2,1.0,NFATC1
NFATC3,1.0,NFATC1
TNFSF10,1.0,FOXO3
FOXO3,1.0,TNFSF10
FOXO4,1.0,TNFSF10
TNFSF10,1.0,FOXO1
FOXO1,1.0,TNFSF10
JAK1,1.0,CCND3
JAK3,1.0,CCND3
APC,-1.0,PTGS2
RXRA,1.0,HSD17B2
SAP30,-1.0,TERT
EP300,1.0,ODC1
HDAC1,-1.0,IL5
HDAC1,-1.0,IL2
SP3,1.0,LPL
CBX3,-1.0,E2F1
MED1,1.0,RGL1
CBFB,1.0,SPP1
E2F6,-1.0,CBX5
CBX5,-1.0,E2F6
SP1,1.0,LOR
SREBF2,1.0,FDPS
SREBF1,1.0,FDPS
FDPS,1.0,SREBF1
JUND,1.0,CCR4
HDAC3,-1.0,ID2
NCOA6,1.0,ACOX1
NCOA2,1.0,ACOX1
NCOA1,1.0,ACOX1
RARG,1.0,ICAM1
RARA,1.0,ICAM1
POU2F1,1.0,PTGIR
LIN37,-1.0,RBL1
FOXA1,1.0,APOB
TP53,1.0,BCL6
IFIT3,1.0,STAT2
JUNB,1.0,CD82
LIN54,-1.0,RBL1
LIN52,-1.0,RBL1
EP300,1.0,BDKRB2
SP1,1.0,MET
SP1,1.0,PHGDH
B2M,1.0,EOMES
E2F1,1.0,TP53BP2
TP53BP2,1.0,E2F1
TP53BP2,1.0,E2F2
TP53BP2,1.0,E2F3
ZEB2,-1.0,MEOX2
BRCA1,-1.0,TFF1
FASLG,1.0,MYC
MYC,1.0,FASLG
ATXN3,1.0,SOD2
STAT3,1.0,PRDM1
CARM1,1.0,ALAS1
EP300,1.0,HINFP
TFPT,-1.0,EAF2
SAP18,-1.0,TERT
LMO2,1.0,NFATC1
SIRT1,-1.0,CCAR2
TFDP1,1.0,HIC1
NFATC1,1.0,CSF2
NFATC2,1.0,CSF2
TFDP2,1.0,HIC1
NFATC3,1.0,CSF2
STAT5A,-1.0,IRF8
SPI1,1.0,CCL2
STAT5B,-1.0,IRF8
SP1,1.0,MVK
VDR,-1.0,IL10
ZNF385A,1.0,SFN
TFAP2A,1.0,CRYAB
TFAP2B,1.0,CRYAB
SP1,1.0,MPO
SPI1,1.0,CD40
NR3C1,1.0,NTS
NCOA6,1.0,CYP7A1
IRF3,1.0,MAVS
SPIB,1.0,CD40
CREB1,-1.0,JUN
TAF9,1.0,GADD45A
JUN,1.0,VDR
EP300,1.0,FABP7
EP300,1.0,FABP4
GRB14,1.0,FOXO3
TBL1XR1,1.0,CYP4A11
STAT4,1.0,PRF1
HDAC7,-1.0,HDC
PRF1,1.0,STAT3
SFPQ,-1.0,STAT6
PRF1,1.0,STAT1
IRF2,-1.0,CXCR4
SP1,1.0,MIF
PUM2,-1.0,DCUN1D3
MED1,1.0,FDFT1
MYOCD,1.0,ACTA2
NR3C1,1.0,NR1I3
SP3,1.0,NF1
PAX6,1.0,GIP
STAT5B,1.0,IGF1
STAT4,-1.0,ARF1
MYOCD,1.0,ACTG2
ETV6,1.0,CDKN1A
ELOC,1.0,CHEK1
ELOA,1.0,CHEK1
ELOB,1.0,CHEK1
HDAC1,-1.0,FOS
COL1A1,1.0,SMAD3
COL1A2,1.0,SMAD3
MAX,1.0,TK1
SRM,1.0,MYC
TFAP2A,1.0,APOE
STAT1,1.0,SMAD7
SP1,1.0,MYC
SP3,1.0,MYB
WT1,1.0,JUN
FOXO1,1.0,BCL2L11
FOXO4,1.0,BCL2L11
FOXO3,1.0,BCL2L11
BCL2L11,1.0,FOXO3
PITX1,-1.0,HES1
HSF1,1.0,NAT1
MYC,1.0,TK1
MYB,1.0,TK1
NPAS2,1.0,NAMPT
MAMLD1,1.0,GZMB
FOXA2,1.0,HMGCS1
AR,-1.0,CYP7B1
STAT6,-1.0,SELE
RUNX3,1.0,DNASE1
PAX6,1.0,GCG
HDAC1,-1.0,GCK
HDAC2,-1.0,GCK
CUX1,1.0,WNT5A
HELZ2,1.0,TXNRD1
CHEK1,1.0,RAD51D
RAD51D,1.0,CHEK1
WT1,-1.0,IGF2
WT1,-1.0,IGF1
NFKB1,1.0,IL1B
NFKB1,1.0,IL18
CTNNB1,1.0,PITX2
IFITM1,-1.0,GLI2
RELA,1.0,NFKB1
ZNF160,-1.0,TLR4
YBX1,1.0,AGT
NR2E3,1.0,RHO
FOS,1.0,GJA1
HLA-E,-1.0,GLI2
GLI3,-1.0,HLA-G
EP300,1.0,BNIP3L
FOXM1,1.0,NFATC3
SP1,1.0,CXCL5
NFATC2,1.0,FOXP3
IL2RG,1.0,IRF4
FLI1,-1.0,IGFBP3
HIGD1A,1.0,AR
CEBPD,1.0,PRTN3
TBL1X,1.0,CYP1A1
CEBPB,1.0,PRTN3
CEBPA,1.0,PRTN3
MAF,1.0,MMP13
STAT3,1.0,PTEN
STAT5A,1.0,IFNG
UNG,1.0,MYC
HIST2H2BE,1.0,BCL2
MAZ,1.0,MMP14
HELZ2,1.0,SULT2A1
CHD9,1.0,GRHL1
YY1,1.0,IL4
YY1,1.0,IL5
IL5,1.0,YY1
RARA,1.0,FGFBP1
NFKB1,1.0,IL10
NR5A1,1.0,NR0B1
SUZ12,-1.0,SNAI2
NPM1,1.0,CDKN1A
CREB1,-1.0,NR2F6
CREB1,-1.0,NR2F1
SLC2A4,1.0,SREBF1
JUN,1.0,PTN
CEBPA,-1.0,BCL2
FOXM1,1.0,SFTPB
STAT3,1.0,POMC
RUNX1,-1.0,VEGFA
MYB,1.0,MPO
IL8,-1.0,IRF9
ALB,1.0,PAG1
MNT,1.0,MYC
JUN,1.0,FASLG
DLL4,1.0,RBPJ
MYC,1.0,MME
PGR,-1.0,IL10
LGALS3,1.0,RUNX1
RUNX1,1.0,LGALS3
LGALS3,1.0,RUNX2
RUNX2,1.0,LGALS3
HDAC2,-1.0,CXCL8
NR1H4,1.0,NR1I2
MAX,1.0,NBN
FZR1,1.0,CXCL8
BAMBI,1.0,SMAD3
SMAD3,1.0,BAMBI
BAMBI,1.0,SMAD4
SMAD4,1.0,BAMBI
NFKB1,1.0,IFNG
WT1,1.0,CKM
HAND2,1.0,DBH
HDAC3,-1.0,CXCR4
CHD9,1.0,HMGCS1
CHD9,1.0,HMGCS2
ITGB1,-1.0,LEF1
CTBP1,-1.0,BRCA2
HDAC3,-1.0,NR1D1
FOXQ1,1.0,WNT3A
CTBP1,-1.0,BRCA1
NCL,1.0,MYC
MYC,1.0,NBN
ERG,1.0,VIM
CREBBP,1.0,RGL1
NRF1,1.0,PRDX5
NRF1,1.0,PRDX3
DYNC1I1,1.0,CTNNB1
CLOCK,1.0,RORA
ATF1,1.0,CFTR
CSE1L,1.0,TP53AIP1
CIITA,-1.0,IL4
WNT16,1.0,FOXO1
SP3,1.0,HGF
SP1,1.0,HGF
TWIST1,1.0,CTPS1
TWIST2,1.0,CTPS1
HOXC9,-1.0,HOXB8
FOXA1,1.0,SFTPB
FOXA1,1.0,SFTPD
MYB,1.0,MYC
RELA,-1.0,PGR
PGR,-1.0,RELA
CREB1,1.0,LYL1
HMGA2,1.0,POU1F1
HMGA1,1.0,POU1F1
SMARCD3,1.0,APOA5
SMARCD3,1.0,APOA1
SMARCD3,1.0,APOA2
CASP4,-1.0,CTNNB1
PPARA,-1.0,PLIN2
F3,1.0,RELA
PAX6,1.0,FABP7
CTCFL,1.0,BAG1
JUN,1.0,NR3C1
PTGDR,1.0,CCNE1
PTGDR,1.0,CCNE2
CDK11B,1.0,MYC
ERG,1.0,VWF
TP73,1.0,CASP1
TP73,1.0,CASP2
SP1,1.0,XIAP
TP63,1.0,CASP1
ARNT,1.0,ALDOA
TP53,1.0,CASP6
CASP7,1.0,TP53
SIRT1,-1.0,CDH1
TP53,1.0,CASP1
CASP1,1.0,TP53
HDAC11,-1.0,IL10
PAX5,1.0,BAX
AATF,-1.0,BAX
FOXQ1,1.0,BCL11A
ING4,-1.0,NGF
ABL1,1.0,CCND2
SP1,1.0,HTT
PPARG,-1.0,BCL2L1
USF1,1.0,CIITA
SP1,1.0,HPR
RELA,1.0,TF
BTG2,1.0,SPHK1
NF1,1.0,MYC
COL7A1,1.0,SMAD3
COL7A1,1.0,SMAD4
COL7A1,1.0,SMAD2
HIST2H3C,1.0,KDM4B
RUNX3,-1.0,MMP9
TP53,-1.0,MMP1
RELA,-1.0,GNRH2
NR3C1,-1.0,IL13
ING4,-1.0,CXCL8
MYC,1.0,CXCR4
SP1,1.0,IL6
PPARG,1.0,PTEN
PHOX2B,1.0,TLX2
PHOX2A,1.0,TLX2
XBP1,1.0,PPP2R5B
CREBBP,-1.0,KRT14
PTGDR,1.0,CCNA2
SAT1,1.0,FOXO3
CREM,-1.0,CD247
NR1I2,-1.0,RELA
PIK3R1,1.0,CCND3
PIK3R1,1.0,CCND1
BAK1,1.0,TP53
AHR,1.0,PCNA
TBL1X,1.0,CYP7A1
STAT3,1.0,HSPA4
STAT3,1.0,HSPB1
CTNNB1,1.0,CACNA1G
CARM1,1.0,CYP1A1
MOV10,-1.0,MECP2
IFNA10,1.0,IFNG
SPI1,1.0,FCER1A
NFKB2,1.0,RBPJ
SIRT1,-1.0,FOXO3
SIRT1,-1.0,TNFRSF10B
SP1,1.0,IVL
BAG2,-1.0,CTNNB1
IFNA14,1.0,IFNG
BAG3,-1.0,CTNNB1
IFNA16,1.0,IFNG
IFNA17,1.0,IFNG
IFNA21,1.0,IFNG
NR4A1,-1.0,BABAM2
NR5A1,1.0,LHB
JUN,1.0,MMP13
EGR2,1.0,FCER2
PIK3CA,1.0,CCND1
PIK3CA,1.0,CCND3
NRF1,1.0,CAPNS1
RELA,1.0,HYAL1
PHB,1.0,MYC
FAM189A2,1.0,CTNNB1
ARNT,1.0,LDHA
CARM1,1.0,ACADM
COL6A2,1.0,SMAD3
COL6A3,1.0,SMAD3
COL6A1,1.0,SMAD3
MAML2,1.0,PTCRA
MAML3,1.0,PTCRA
MAML1,1.0,PTCRA
YY1,1.0,DBH
MBD2,-1.0,GSTP1
SP1,1.0,SLC39A8
SMARCD3,1.0,RGL1
NRL,1.0,NR2E3
EGR1,1.0,HPSE
AIP,-1.0,RSF1
SP1,1.0,RANBP1
RB1,-1.0,RBL1
GBX2,1.0,IL6
TCEA1,1.0,FANCD2
IFNAR1,1.0,IFNG
IFNAR2,1.0,IFNG
TBL1X,1.0,ALAS1
IL10,-1.0,CXCL2
IL10,-1.0,CXCL1
IL13,-1.0,CXCL8
IL10,-1.0,CXCL8
SP3,1.0,JUN
PPARG,1.0,CDKN1A
JUN,1.0,TNC
JUN,1.0,TNF
JUNB,1.0,CBFB
AR,-1.0,CDH1
COL5A2,1.0,SMAD3
ALPP,1.0,FOXO1
NANOG,-1.0,CDC25A
BBC3,1.0,TP53
TP53,1.0,BBC3
STAT4,1.0,PPIA
MYC,1.0,XPO1
TP73,1.0,BBC3
TP63,1.0,BBC3
RFX1,-1.0,MYC
TP53,-1.0,E2F3
RELA,1.0,SIRT1
HIF1A,1.0,AGTR1
MAMLD1,1.0,HEYL
MAMLD1,1.0,HEY1
MAMLD1,1.0,HEY2
SLC2A14,1.0,CTNNB1
NR0B1,1.0,PBX1
AR,-1.0,TSC1
AR,-1.0,TSC2
ATF2,-1.0,NOS3
NRL,-1.0,RBP3
CFLAR,1.0,GLI2
IL6,1.0,GLI2
RAD51,1.0,EGR1
TIMP3,-1.0,GLI2
CHD9,1.0,PLIN2
YY1,1.0,NF1
SP1,1.0,TNC
SP1,1.0,TNF
TBL1XR1,1.0,PEX11A
ONECUT1,1.0,CCND1
CARM1,1.0,CYP7A1
TP53,-1.0,MGMT
SP1,1.0,TK1
MAMLD1,1.0,HES5
PAX3,1.0,CXCR4
FOXP2,1.0,PLAUR
TP53,1.0,TP53INP1
SP1,1.0,GAST
PAX6,1.0,MET
PAX5,1.0,MET
PAX3,1.0,MET
ERG,1.0,PIM1
E2F1,-1.0,TLR3
RELA,1.0,NOLC1
EP300,1.0,GCK
IL10,-1.0,LIF
PER2,-1.0,SNAI2
CARM1,1.0,ACOX1
ABCB1,1.0,TCF7L2
CHD9,1.0,ABCA1
TP53,-1.0,TCF7L2
CREBBP,1.0,FDFT1
IL2RG,1.0,SOCS3
OTX2,1.0,PAX6
NR3C1,-1.0,IFNG
MAP2K5,1.0,STAT3
IL2RA,1.0,SOCS3
IL2RB,1.0,SOCS3
NFYB,1.0,GGPS1
NFYC,1.0,GGPS1
NFYA,1.0,GGPS1
PTTG1,1.0,CCNB1
CEBPE,-1.0,SPI1
IRF1,1.0,IFNA13
FOXM1,1.0,SKP2
SEMA4A,1.0,VEGFA
ADAM2,-1.0,LEF1
SP1,1.0,GCLC
STAT3,1.0,CDKN1A
CDKN1A,1.0,STAT1
STAT1,1.0,CDKN1A
NPM1,-1.0,ATF5
CTDP1,1.0,FANCD2
IRF7,1.0,IFNA13
NFKB1,1.0,IRF7
NFKB1,1.0,IRF4
NFKB1,1.0,IRF1
IRF1,1.0,NFKB1
STAT6,1.0,HSD3B2
EP300,1.0,EPO
PPARG,-1.0,APOB
CREBBP,1.0,IRF9
CREBBP,1.0,IRF1
SP1,1.0,VIM
SRF,1.0,VCL
SP1,1.0,MMP14
CREB5,1.0,TGFBR3
TBL1X,1.0,CPT2
TNFAIP8,1.0,FOXO3
STAT6,1.0,IL13RA2
SP1,1.0,MMP11
CREM,-1.0,CCNA2
SRF,1.0,MMP14
JUN,1.0,PENK
PAWR,1.0,NOV
WWP1,-1.0,ERBB4
CHD9,1.0,ABCB4
TBL1X,1.0,ACSL1
STAT1,1.0,HES1
SOX9,-1.0,POU3F2
NFAT5,-1.0,CCL2
ELF3,1.0,TIMP3
HDAC1,-1.0,MMP28
HDAC4,-1.0,MMP13
HDAC7,-1.0,MMP10
HDAC5,-1.0,SLIT2
STAT1,1.0,HEY1
CREB5,1.0,ATP6V0E1
MED12,1.0,AXIN2
FOXA1,1.0,SOD1
IL27,-1.0,IL2
ERCC2,-1.0,LAMTOR5
ZNF420,-1.0,TP53AIP1
MYB,-1.0,IGHE
NFATC3,1.0,CD40LG
NFATC1,1.0,CD40LG
NFATC2,1.0,CD40LG
ERBB4,1.0,CXCL12
MOV10,-1.0,NLK
CREB1,1.0,MITF
HNF1A,1.0,ACAT2
POU4F1,1.0,CDKN1A
SOX6,-1.0,CTNNB1
GABPA,1.0,TWNK
TP53,1.0,CASP10
RAD51,1.0,STAT5A
RAD51,1.0,STAT5B
TFAP2A,-1.0,BCL2
THBS1,1.0,JUN
PCNA,1.0,MYC
GATA3,1.0,TFF3
GATA3,1.0,TFF1
TP53,1.0,TAP1
RARB,-1.0,MYC
XBP1,1.0,GFPT1
PIM1,1.0,ID2
SOX2,1.0,LHX3
HELZ2,1.0,ACADM
ESR1,1.0,ZEB1
APEX1,1.0,MYC
IL12RB1,1.0,MPO
HOXB7,1.0,WNT5A
TP63,1.0,TBXT
WT1,1.0,SRY
RXRA,1.0,ITGA6
RBL1,-1.0,MYC
MYC,-1.0,DDIT3
TFAP2B,1.0,PTGDS
CDX2,1.0,UGT1A8
SP1,1.0,WT1
ATF4,1.0,FGF19
ATF4,1.0,FGF21
HIF3A,1.0,EPAS1
RXRB,1.0,ITGA6
RXRG,1.0,ITGA6
NR3C1,1.0,YY1
SP1,1.0,MMRN1
PBX1,1.0,PF4
PBX2,1.0,PF4
RUNX2,1.0,TWIST1
SIRT1,-1.0,TP53
XBP1,1.0,HSPA5
CHD4,-1.0,CD79A
IL12RB1,1.0,CXCL1
ZEB1,-1.0,PKP3
IL12RB1,1.0,CXCL9
IRF2,-1.0,DST
IRF1,-1.0,DST
SPI1,1.0,CLEC4G
RUNX3,1.0,TCF4
TYK2,1.0,TBX21
MAZ,1.0,TSG101
MYCN,-1.0,TP53INP1
TNRC6B,-1.0,GREB1
TNRC6C,-1.0,GREB1
TNRC6A,-1.0,GREB1
MOV10,-1.0,MYC
NCOR1,-1.0,ESR1
TFAP2C,1.0,ERBB2
TFAP2A,1.0,ERBB2
ERBB2,1.0,TFAP2A
TFAP2B,1.0,ERBB2
TP53,-1.0,MCL1
USF1,-1.0,CYP1A1
TP53,-1.0,MCM7
XPC,1.0,KIN
TGS1,1.0,SULT2A1
CBFB,1.0,LGALS3
CREB1,1.0,MC2R
PAX6,1.0,INS
ZFP36L1,-1.0,VEGFA
SP1,1.0,PGR
SP1,1.0,MACROD1
TP73,1.0,PLPP1
UXT,1.0,MYC
PIAS1,1.0,FABP2
HIF1A,1.0,HBEGF
BRD7,1.0,BRD2
BRD7,1.0,BRD3
CHD9,1.0,UGT1A9
MAX,-1.0,DDIT3
QPCT,1.0,CTNNB1
HES1,-1.0,PTEN
TM7SF2,1.0,NFYA
NFYA,1.0,TM7SF2
NFYB,1.0,TM7SF2
NFYC,1.0,TM7SF2
CCNC,1.0,PLIN1
EZH2,-1.0,ADAMTS1
OTX2,1.0,TYR
NCOA6,1.0,CPT2
MKL1,1.0,TAGLN
CRTC2,1.0,PPARGC1A
CRTC3,1.0,PPARGC1A
CRTC1,1.0,PPARGC1A
NCOA1,1.0,CPT2
NCOA2,1.0,CPT2
KLF6,-1.0,MMP9
SEPP1,-1.0,SMAD4
SEPP1,-1.0,SMAD3
EP300,1.0,CA9
XBP1,1.0,CXXC1
HIF1A,1.0,PTK6
HES1,-1.0,CDKN1B
SP1,1.0,FASLG
SP1,1.0,PPL
SRF,1.0,PLG
NFKB1,1.0,RGS4
TGFBI,1.0,GLI2
RGS16,1.0,GLI1
SOX2,-1.0,POU4F2
FOXP2,-1.0,NKX2-1
TP53,1.0,RCHY1
HDAC2,-1.0,APAF1
NR3C1,1.0,SP1
ARNTL,1.0,F7
ALB,1.0,EP300
KLK3,1.0,KLK2
KLK2,1.0,KLK3
HDAC5,-1.0,FGF2
ICAM1,1.0,RELA
RELA,1.0,ICAM1
CREBBP,1.0,CREB1
SSRP1,1.0,CHEK1
RBMX,-1.0,KIT
DACH1,-1.0,TNFSF11
FOXF1,-1.0,NKX2-1
MYB,1.0,WT1
NR1H2,1.0,TNF
NR1H3,1.0,TNF
THRAP3,1.0,PLIN1
IL10,-1.0,IL6
FOXA1,-1.0,NKX2-1
IL4,-1.0,IL18
IL13,-1.0,IL6
HTRA1,1.0,CTNNB1
IL12RB1,1.0,TNF
MYC,1.0,WRN
IL4,-1.0,IL1A
IL4,-1.0,IL1B
EP300,1.0,BAX
FOXA2,1.0,SOX14
CREB1,1.0,SLC2A3
HIF1A,-1.0,ACE2
SIRT1,-1.0,CCND1
PDX1,1.0,GCK
HIF1A,-1.0,ABCB1
NFKB1,-1.0,ALOX5
SPDEF,1.0,SPINK4
FOS,1.0,PENK
ZFC3H1,-1.0,GLI2
VDR,1.0,CXCL8
HIST3H2BB,1.0,KDM4B
MNAT1,1.0,ATM
MNAT1,1.0,ATR
JUND,1.0,FOSL1
ONECUT1,1.0,NEUROG3
GCM1,1.0,PGF
TADA2B,1.0,GADD45A
BRD7,-1.0,E2F3
NFATC3,1.0,CTSD
RUNX2,-1.0,AR
NFKB1,-1.0,THBD
H19,1.0,GLI1
TERT,-1.0,E2F1
TERT,-1.0,E2F2
TERT,-1.0,E2F3
SRF,-1.0,SERPINE1
HAMP,1.0,STAT3
STAT3,1.0,HAMP
FST,1.0,GLI2
GLI2,1.0,FST
RPS6KB1,1.0,TGFB1
RELA,1.0,MMP9
MMP9,1.0,RELA
RELA,1.0,MMP1
RELA,1.0,MMP2
MMP3,1.0,RELA
TP53,-1.0,MAP4
DLX5,1.0,IRS2
TP63,1.0,HELLS
EGR1,1.0,SNAI1
KLF9,1.0,PDCD5
NKX2-5,1.0,GATA4
LDLR,-1.0,PPARGC1A
PDX1,1.0,INS
INS,1.0,PDX1
E2F1,1.0,XRCC1
XRCC1,1.0,E2F1
FN1,-1.0,RELA
POU4F1,-1.0,PMAIP1
SP1,1.0,SPN
SP1,1.0,SP3
BCL9,1.0,CDX1
NCOA6,1.0,ACSL1
NCOA2,1.0,ACSL1
NCOA1,1.0,ACSL1
JUN,1.0,GJA1
SPDEF,1.0,CDH1
HDAC7,1.0,SLC2A1
HDAC5,1.0,SLC2A1
CEBPE,-1.0,GATA1
GATA1,-1.0,CEBPA
NR5A1,1.0,SRY
HDAC2,-1.0,FDXR
MEF2C,1.0,CKM
GLI1,1.0,BHLHE41
IFNAR2,-1.0,TERT
HIST1H2BO,1.0,MYC
HIST1H2BM,1.0,MYC
HIST1H2BN,1.0,MYC
HIST1H2BK,1.0,MYC
HIST1H2BL,1.0,MYC
HIST1H2BJ,1.0,MYC
HIST1H2BG,1.0,MYC
HIST1H2BH,1.0,MYC
HIST1H2BD,1.0,MYC
HIST1H2BA,1.0,MYC
HIST1H2BB,1.0,MYC
MYC,1.0,YY1
SIRT1,1.0,ARNTL
TBL1X,1.0,ACOX1
GCM2,1.0,PTH
CDK8,1.0,PLIN1
HBP1,-1.0,CDKN1A
EZH2,-1.0,HOXB13
BTF3,-1.0,NFKB1
PPARG,1.0,CPT1B
FOSL1,1.0,PLAUR
RASGRF1,1.0,CTNNB1
LMX1B,1.0,TCF3
JUN,-1.0,RARG
JUN,-1.0,RARA
HIST1H2AJ,1.0,MYC
KLF4,1.0,THBD
KLF2,1.0,THBD
LEF1,-1.0,CYLD
HIST1H2AD,1.0,MYC
HIST1H2AB,1.0,MYC
HIST1H2AC,1.0,MYC
IL12RB2,1.0,FASLG
SREBF1,1.0,FASN
IL12RB1,1.0,FASLG
FOXA1,1.0,PRDM15
DPY30,1.0,ITGA2B
SP1,1.0,HIST2H4A
NRF1,1.0,SLC46A1
CEBPB,1.0,PRSS50
JUN,1.0,TGFB1
TGFB1,1.0,JUN
HMGA2,1.0,CDH1
HIF1A,1.0,XPC
SP100,-1.0,ETS1
ING1,-1.0,AFP
MAX,1.0,BAX
CEBPB,1.0,PRDM1
CTDSP1,-1.0,KLK3
CTDSP2,-1.0,KLK3
HMGA1,1.0,CD44
BCL11A,1.0,GATA1
RARA,-1.0,MACROD1
MYB,1.0,ADA
RBMX,-1.0,FOS
SCGB2A2,1.0,CTNNB1
TOP3A,1.0,YY1
YY1,1.0,TOP3A
NFKB1,1.0,SNAI1
ESR1,1.0,HSPB1
GATA3,1.0,CD40LG
SNAI1,-1.0,VDR
SNAI2,-1.0,VDR
ETS1,1.0,GRPR
ESR1,1.0,NRIP1
PITX1,-1.0,TRIB2
RAI1,1.0,CLOCK
ETV4,1.0,AGTR1
CEBPD,-1.0,CYP19A1
CEBPB,-1.0,CYP19A1
EHMT1,-1.0,IL6
EHMT2,-1.0,IL6
SMAD7,-1.0,CDKN2B
SMAD7,-1.0,CDKN1A
STAT3,1.0,S100A11
STAT1,1.0,S100A10
TAF9,1.0,BBC3
RELA,1.0,UPP1
SATB1,1.0,HBE1
ELK1,1.0,EIF2AK1
NANOG,1.0,MTF2
TTF1,1.0,SFTPC
TTF1,1.0,SFTPB
HIRA,-1.0,PLB1
POU5F1,-1.0,TBX18
MAX,1.0,CAD
MLXIPL,1.0,AGPAT1
HIST1H1B,1.0,HBP1
SKI,1.0,FHL2
HPGD,-1.0,GLI2
EGR1,1.0,CDKN1A
JUND,1.0,GADD45A
FOS,1.0,IL2
FOS,1.0,IL3
FOS,1.0,IL4
FOS,1.0,IL5
TGS1,1.0,GRHL1
MYC,1.0,BAX
WT1,-1.0,IGF1R
IHH,1.0,TGFB2
IL4,1.0,FN1
IL2RG,1.0,TNFRSF18
IL2RB,1.0,TNFRSF18
IL2RA,1.0,TNFRSF18
SRF,1.0,FHL2
PML,1.0,FLT3
JUN,1.0,FAS
MYC,1.0,RPL11
RPL10,1.0,MYC
ELL,1.0,FANCI
PPARG,-1.0,AGER
NR3C1,1.0,AFP
JUN,1.0,EZR
ETS1,1.0,TBXA2R
LMO2,-1.0,LEF1
FOSB,1.0,MYC
RPL22,1.0,MYC
RPL23,1.0,MYC
MAMLD1,1.0,PBX1
VHL,-1.0,IGF1R
MEF2C,1.0,NTF3
RPL13,1.0,MYC
RPL19,1.0,MYC
RPL32,1.0,MYC
RPL26,1.0,MYC
RPL27,1.0,MYC
TP53BP1,1.0,BRCA1
MYCN,-1.0,ABCB1
RXRA,1.0,CYP1A1
CYP4F2,1.0,SREBF1
CYP4F2,1.0,SREBF2
PURA,1.0,NFYA
MED1,1.0,TNFRSF21
IL12RB1,1.0,FOS
BLVRA,-1.0,GLI2
IL12RB2,1.0,FOS
TOPBP1,-1.0,CDKN2A
FOS,1.0,JUN
